ngay,thu,lop,pillar,goc,nen_tang,hook,cua_ban,cta,kpi,owner,trang_thai,ket_qua,bai_hoc
2026-08-15,Thu 6,san_xuat,Insight tuần 1,Sai lầm hay mắc,TikTok,Đừng gen khi chưa hiểu khách,comment,Comment KHÓA,giu_3s,Maker,draft,,
2026-08-16,Thu 7,san_xuat,Insight tuần 1,Trước / sau,Reels,1 buổi vs 10 phút,inbox,Inbox SOP,inbox,Maker,idea,,
2026-08-17,CN,kenh,Insight tuần 1,Con số,TikTok,1 ý = 10 nội dung,link,Nhận file,click,Poster,idea,,
2026-08-18,Thu 2,kenh,Insight tuần 1,Myth,Facebook,Prompt Anh không phải lúc nào cũng thắng,inbox,Lấy Brand Card,comment,Owner,idea,,
2026-08-19,Thu 3,san_xuat,Insight tuần 1,Ngày thường,TikTok,21h vẫn nghĩ caption,link,Template lịch,giu_3s,Maker,idea,,
2026-08-20,Thu 4,marketing,Insight tuần 1,Case,Reels,[Ngành] 14 clip / 1 insight,inbox,Inbox ngành,inbox,Owner,idea,,
2026-08-21,Thu 5,san_xuat,Insight tuần 1,3 bước,TikTok,3 việc để đăng được,comment,Lưu video,rewatch,Maker,idea,,
2026-08-22,Thu 6,kenh,Insight tuần 1,Phản biện,Facebook,AI mất hồn khi thiếu hệ prompt,link,Xem SOP,click,Owner,idea,,
2026-08-23,Thu 7,ban_hang,Insight tuần 1,POV nhân viên,TikTok,Sếp bảo 5 video/tuần,inbox,Gửi sếp file,share,Poster,idea,,
2026-08-24,CN,ban_hang,Insight tuần 1,POV khách,Reels,Nhớ hook chứ không nhớ shop,inbox,Ma trận hook,inbox,Maker,idea,,
2026-08-25,Thu 2,san_xuat,Insight tuần 1,Checklist,TikTok,6 ô trước khi đăng,comment,Screenshot,save,Owner,idea,,
2026-08-26,Thu 3,marketing,Workshop live,Offer thẳng,TikTok + Ads,Vé 1.999.000 đang 0đ,link,Đăng ký,lead,Owner,idea,,
2026-08-27,Thu 4,marketing,Ads hook A,Pain,TikTok Ads,Đừng gen khi chưa khóa visual,form,Đăng ký,cpa,Owner,idea,,
2026-08-28,Thu 5,marketing,Ads hook B,Proof,Reels Ads,Team 2 người vẫn 5 clip/tuần,form,Đăng ký,cpa,Owner,idea,,
2026-08-29,Thu 6,ban_hang,Follow-up,Nuôi,Zalo OA,1 value / 3 ngày,zalo,Tin 6,reply,Owner,idea,,
